date,exchange
12/31/2021,102.68
12/30/2021,102.68
12/29/2021,102.63
12/28/2021,102.60
12/27/2021,102.54
12/24/2021,102.25
12/23/2021,102.21
12/22/2021,102.27
12/21/2021,102.12
12/20/2021,102.12
12/17/2021,101.86
12/16/2021,101.81
12/15/2021,101.82
12/14/2021,101.66
12/13/2021,101.60
12/10/2021,101.49
12/9/2021,101.52
12/8/2021,101.31
12/7/2021,101.41
12/6/2021,101.18
12/3/2021,101.05
12/2/2021,100.99
12/1/2021,100.90
11/30/2021,100.93
11/29/2021,100.83
11/26/2021,100.75
11/25/2021,100.66
11/24/2021,100.52
11/23/2021,100.57
11/22/2021,100.35
11/19/2021,100.45
11/18/2021,100.30
11/17/2021,100.24
11/16/2021,100.29
11/15/2021,100.27
11/12/2021,100.11
11/11/2021,100.18
11/10/2021,100.13
11/9/2021,100.01
11/8/2021,100.01
11/5/2021,99.84
11/4/2021,99.85
11/3/2021,99.81
11/2/2021,99.76
11/1/2021,99.71
10/29/2021,99.62
10/28/2021,99.68
10/27/2021,99.64
10/26/2021,99.54
10/25/2021,99.38
10/22/2021,99.29
10/21/2021,99.27
10/20/2021,99.35
10/19/2021,99.30
10/18/2021,99.27
10/15/2021,99.09
10/14/2021,98.95
10/13/2021,98.92
10/12/2021,98.89
10/8/2021,98.85
10/7/2021,98.85
10/6/2021,98.91
10/5/2021,98.89
10/4/2021,98.89
10/1/2021,98.59
9/30/2021,98.73
9/29/2021,98.51
9/28/2021,98.57
9/27/2021,98.43
9/24/2021,98.57
9/23/2021,98.33
9/22/2021,98.48
9/21/2021,98.27
9/20/2021,98.26
9/17/2021,98.15
9/16/2021,98.30
9/15/2021,98.05
9/14/2021,98.01
9/13/2021,98.18
9/10/2021,97.90
9/9/2021,97.85
9/8/2021,98.00
9/7/2021,97.79
9/6/2021,97.94
9/3/2021,97.86
9/2/2021,97.83
9/1/2021,97.60
8/31/2021,97.74
8/30/2021,97.51
8/27/2021,97.36
8/26/2021,97.33
8/25/2021,97.29
8/24/2021,97.35
8/23/2021,97.40
8/20/2021,97.22
8/19/2021,97.28
8/18/2021,97.26
8/17/2021,97.05
8/16/2021,97.02
8/13/2021,97.10
8/12/2021,96.88
8/11/2021,96.85
8/10/2021,97.02
8/9/2021,96.99
8/6/2021,96.90
8/5/2021,96.69
8/4/2021,96.83
8/3/2021,96.80
8/2/2021,96.79
7/30/2021,96.68
7/29/2021,96.45
7/28/2021,96.61
7/27/2021,96.57
7/26/2021,96.53
7/23/2021,96.22
7/22/2021,96.40
7/21/2021,96.36
7/20/2021,96.33
7/19/2021,96.30
7/16/2021,96.21
7/15/2021,96.18
7/14/2021,96.15
7/13/2021,96.12
7/12/2021,96.09
7/9/2021,95.94
7/8/2021,95.98
7/7/2021,95.94
7/6/2021,95.91
7/5/2021,95.88
7/2/2021,95.79
7/1/2021,95.76
6/30/2021,95.70
6/29/2021,95.69
6/28/2021,95.49
6/25/2021,95.41
6/24/2021,95.36
6/23/2021,95.33
6/22/2021,95.30
6/21/2021,95.18
6/18/2021,95.38
6/17/2021,95.35
6/16/2021,95.31
6/15/2021,95.09
6/14/2021,95.25
6/11/2021,95.13
6/10/2021,95.09
6/9/2021,95.05
6/8/2021,94.82
6/7/2021,94.78
6/4/2021,94.77
6/3/2021,94.62
6/2/2021,94.77
6/1/2021,94.64
5/31/2021,94.49
5/28/2021,94.56
5/27/2021,94.44
5/26/2021,94.48
5/25/2021,94.21
5/24/2021,94.08
5/21/2021,94.08
5/20/2021,94.24
5/19/2021,94.20
5/18/2021,93.97
5/17/2021,93.94
5/14/2021,93.85
5/13/2021,94.01
5/12/2021,93.98
5/11/2021,93.86
5/10/2021,93.73
5/7/2021,93.83
5/6/2021,93.79
5/5/2021,93.56
5/4/2021,93.71
5/3/2021,93.67
4/30/2021,93.36
4/29/2021,93.46
4/28/2021,93.43
4/27/2021,93.33
4/26/2021,93.27
4/23/2021,93.12
4/22/2021,93.07
4/21/2021,92.84
4/20/2021,92.97
4/19/2021,92.92
4/16/2021,92.79
4/15/2021,92.72
4/14/2021,92.66
4/13/2021,92.62
4/12/2021,92.57
4/9/2021,92.25
4/8/2021,92.20
4/7/2021,92.15
4/6/2021,92.28
4/5/2021,92.05
4/2/2021,91.49
4/1/2021,91.66
3/31/2021,91.98
3/30/2021,91.95
3/29/2021,91.91
3/26/2021,91.84
3/25/2021,91.59
3/24/2021,91.44
3/23/2021,91.45
3/22/2021,91.56
3/19/2021,91.17
3/18/2021,91.28
3/17/2021,91.20
3/16/2021,91.13
3/15/2021,91.06
3/12/2021,90.78
3/11/2021,90.78
3/10/2021,90.71
3/9/2021,90.46
3/8/2021,90.49
3/5/2021,90.18
3/4/2021,90.29
3/3/2021,90.22
3/2/2021,90.15
3/1/2021,90.08
2/26/2021,89.82
2/25/2021,89.75
2/24/2021,89.66
2/23/2021,89.45
2/22/2021,89.43
2/19/2021,89.06
2/18/2021,89.05
2/17/2021,88.94
2/16/2021,88.45
2/15/2021,88.35
2/12/2021,88.45
2/11/2021,88.44
2/10/2021,88.36
2/9/2021,88.26
2/8/2021,88.16
2/5/2021,87.82
2/4/2021,87.91
2/3/2021,87.80
2/2/2021,87.70
2/1/2021,87.60
1/29/2021,87.30
1/28/2021,87.14
1/27/2021,87.11
1/26/2021,86.93
1/25/2021,86.73
1/22/2021,86.39
1/21/2021,86.42
1/20/2021,86.34
1/19/2021,86.20
1/18/2021,86.06
1/15/2021,85.73
1/14/2021,85.64
1/13/2021,85.55
1/12/2021,85.46
1/11/2021,85.20
1/8/2021,85.12
1/7/2021,84.83
1/6/2021,84.90
1/5/2021,84.79
1/4/2021,84.52
1/1/2021,85.12
12/31/2020,84.08
12/30/2020,84.14
12/29/2020,84.02
12/28/2020,83.73
12/24/2020,83.18
12/23/2020,83.35
12/22/2020,83.24
12/21/2020,82.97
12/18/2020,82.66
12/17/2020,82.71
12/16/2020,82.46
12/15/2020,82.47
12/14/2020,82.37
12/11/2020,82.14
12/10/2020,82.13
12/9/2020,82.04
12/8/2020,81.58
12/7/2020,81.48
12/4/2020,81.66
12/3/2020,81.40
12/2/2020,81.48
12/1/2020,81.43
11/30/2020,81.30
11/27/2020,81.06
11/26/2020,80.87
11/25/2020,80.79
11/24/2020,80.68
11/23/2020,80.29
11/20/2020,80.35
11/19/2020,80.27
11/18/2020,79.99
11/17/2020,80.03
11/16/2020,79.95
11/13/2020,79.74
11/12/2020,79.50
11/11/2020,79.32
11/10/2020,79.37
11/9/2020,79.18
11/6/2020,79.03
11/5/2020,79.08
11/4/2020,78.87
11/3/2020,78.92
11/2/2020,78.68
10/30/2020,78.32
10/29/2020,78.29
10/28/2020,78.30
10/27/2020,78.30
10/26/2020,78.08
10/23/2020,78.12
10/22/2020,77.99
10/21/2020,77.67
10/20/2020,77.51
10/19/2020,77.57
10/16/2020,77.37
10/15/2020,77.47
10/14/2020,77.40
10/13/2020,77.25
10/9/2020,77.14
10/8/2020,77.11
10/7/2020,77.10
10/6/2020,77.06
10/5/2020,76.94
10/2/2020,76.79
